# Constructed from biom file
#OTU ID	Aus.K9.1	Aus.K9.6	Aus.K9.7	Aus.K9.8	Aus.K9.9	Aus.K9.11	Aus.K9.12	Aus.K9.14	Aus.K9.15	Aus.K9.17	Aus.K9.18	Aus.K9.21	Aus.K9.22	Aus.K9.23	Aus.K9.24	Aus.K9.25	Aus.K9.26	Aus.K9.27	Aus.K9.28	Aus.K9.29	Aus.K9.30	Aus.K9.31	Aus.K9.32	Aus.K9.35	Aus.K9.36	Aus.K9.38	Aus.K9.39	Aus.K9.40	Aus.K9.42	Aus.K9.43	Aus.K9.46	Aus.K9.47	Aus.K9.50	Aus.K9.52	Aus.K9.53	Aus.K9.56	Aus.K9.58	Aus.K9.60	Aus.K9.61	Aus.K9.63	Aus.K9.65	Aus.K9.66	Aus.K9.68	Aus.K9.69	Aus.K9.70	Aus.K9.71	Aus.K9.72	Aus.K9.73	Aus.K9.74	Aus.K9.75	Aus.K9.76	Aus.K9.77	Aus.K9.78	Aus.K9.79	Aus.K9.80	Aus.K9.82	Aus.K9.83	Aus.K9.85	Aus.K9.87	Aus.K9.88	Aus.K9.89	Aus.K9.90	Aus.K9.92	Aus.K9.93	Aus.K9.94	Aus.K9.97	Aus.K9.99	Aus.K9.100	Aus.K9.101	Aus.K9.104	Aus.K9.105	Aus.K9.106	Aus.K9.107	Aus.K9.109	Aus.K9.110	Aus.K9.113	Aus.K9.114	Aus.K9.115	Aus.K9.116	Aus.K9.117	Aus.K9.118	Aus.K9.119	Aus.K9.120	Aus.K9.121	Aus.K9.122	Aus.K9.123	Aus.K9.124	Aus.K9.125	Aus.K9.126	Aus.K9.128	Aus.K9.129	Aus.K9.131	Aus.K9.132	Aus.K9.133	Aus.K9.134	Aus.K9.135	Aus.K9.138	Aus.K9.139	Aus.K9.140	Aus.K9.141	Aus.K9.143	Aus.K9.145	Aus.K9.147	Aus.K9.148	Aus.K9.149	Aus.K9.150	Aus.K9.151	Aus.K9.152	Aus.K9.153	Aus.K9.154	Aus.K9.155	Aus.K9.157	Aus.K9.158	Aus.K9.159	Aus.K9.160	Aus.K9.161	Aus.K9.163	Aus.K9.165	Aus.K9.166	Aus.K9.167	Aus.K9.169	Aus.K9.170	Aus.K9.171	Aus.K9.172	Aus.K9.173	Aus.K9.174	Aus.K9.176	Aus.K9.177	Aus.K9.178	Aus.K9.179	Aus.K9.180	Aus.K9.181	Aus.K9.183	Aus.K9.184	Aus.K9.186	Aus.K9.187	Aus.K9.188	Aus.K9.190	Aus.K9.191	Aus.K9.193	Aus.K9.194	Aus.K9.195	Aus.K9.196	Aus.K9.197	Aus.K9.198	Aus.K9.199	Aus.K9.200	Aus.K9.201	Aus.K9.202	Aus.K9.203	Aus.K9.204	Aus.K9.205	Aus.K9.206	Aus.K9.207	Aus.K9.208	Aus.K9.209	Aus.K9.210	Aus.K9.211	Aus.K9.215	Aus.K9.216	Aus.K9.217	Aus.K9.218	Aus.K9.222	Aus.K9.223	Aus.K9.224	Aus.K9.225	Aus.K9.226	Aus.K9.228	Aus.K9.230	Aus.K9.231	Aus.K9.233	Aus.K9.235	Aus.K9.236	Aus.K9.237	Aus.K9.239	Aus.K9.240	Aus.K9.241
k__Archaea;p__Crenarchaeota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.071025020177563e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00016142050040355126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.071025020177563e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota	0.00024213075060532688	0.0	0.0	8.071025020177563e-05	8.071025020177563e-05	0.00024213075060532688	0.0	0.0003228410008071025	0.00016142050040355126	8.071025020177563e-05	0.0	0.0	8.071025020177563e-05	0.0	0.0	0.0	8.071025020177563e-05	8.071025020177563e-05	0.0005649717514124294	8.071025020177563e-05	0.0	0.0	8.071025020177563e-05	0.0	0.0	0.0	0.0	0.0	8.071025020177563e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.071025020177563e-05	0.0	0.0	8.071025020177563e-05	0.0	8.071025020177563e-05	8.071025020177563e-05	8.071025020177563e-05	8.071025020177563e-05	8.071025020177563e-05	0.0	0.0	0.0	0.00016142050040355126	0.0	0.00040355125100887816	0.0	8.071025020177563e-05	8.071025020177563e-05	8.071025020177563e-05	8.071025020177563e-05	0.0	8.071025020177563e-05	0.0	0.0	0.0	8.071025020177563e-05	0.0009685230024213075	0.0	0.0003228410008071025	0.0	8.071025020177563e-05	0.0	0.0	0.0	0.0	0.0	0.0	8.071025020177563e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.071025020177563e-05	0.0	0.00024213075060532688	0.0	0.0018563357546408394	8.071025020177563e-05	0.0	0.00024213075060532688	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.071025020177563e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.071025020177563e-05	0.0	0.0	0.0	0.00024213075060532688	0.0	0.0	0.0	0.0	0.0	0.0	8.071025020177563e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.071025020177563e-05	8.071025020177563e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.071025020177563e-05	0.00016142050040355126	0.00016142050040355126	0.0	0.0	0.0	0.0008071025020177563	0.0	0.0	0.0	0.0	0.0	0.00024213075060532688	0.0023405972558514926	0.0	0.0	0.0011299435028248588	8.071025020177563e-05	8.071025020177563e-05	0.0018563357546408396	0.0	0.0	0.0	0.0	0.0
k__Bacteria;Other	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.071025020177563e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.071025020177563e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.071025020177563e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__AD3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.071025020177563e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria	0.01533494753833736	0.0030669895076674723	0.021953188054883003	0.05472154963680377	0.04172719935431794	0.04729620661824048	0.05754640839386596	0.015577078288942689	0.039709443099273545	0.03389830508474573	0.01541565778853914	0.005165456012913638	0.008313155770782883	0.12413236481033076	0.015334947538337364	0.022033898305084787	0.00419693301049233	0.005246166263115412	0.0054882970137207394	0.045117029862792514	0.005246166263115412	0.007909604519774007	0.01372074253430185	0.004600484261501208	0.014043583535108949	0.018079096045197765	0.15092816787732127	0.21178369652945997	0.02881355932203394	0.05004035512510085	0.0028248587570621456	0.009604519774011297	0.005811138014527843	0.0025827280064568193	0.021711057304277685	0.0027441485068603697	0.003712671509281677	0.013801452784503626	0.10524616626311525	0.020338983050847477	0.022760290556900768	0.02542372881355936	0.0073446327683615795	0.003954802259887004	0.015657788539144468	0.022760290556900754	0.014205004035512505	0.004600484261501208	0.052461662631154087	0.023728813559322062	0.031799838579499626	0.04955609362389014	0.03188054882970139	0.013720742534301852	0.033010492332526224	0.019128329297820844	0.014527845036319606	0.0919289749798223	0.058595641646489	0.08410008071025002	0.01686844229217112	0.02332526230831319	0.17457627118644178	0.014608555286521384	0.01783696529459243	0.004358353510895882	0.11033091202582711	0.24471347861178486	0.028813559322033954	0.004116222760290556	0.04858757062146888	0.05617433414043575	0.017675544794188893	0.019774011299435054	0.007828894269572232	0.005165456012913637	0.02356739305891852	0.10702179176755433	0.01614205004035513	0.02276029055690076	0.018644067796610188	0.016949152542372895	0.04511702986279249	0.04479418886198542	0.01614205004035513	0.01614205004035513	0.009120258272800642	0.003631961259079901	0.003631961259079901	0.022921711057304315	0.018644067796610198	0.05084745762711858	0.039628732849071764	0.015415657788539138	0.014527845036319606	0.017029862792574672	0.010330912025827277	0.011380145278450356	0.01614205004035513	0.009685230024213069	0.017271993543180007	0.017029862792574672	0.0158999192897498	0.059806295399515666	0.19160613397901616	0.005891848264729618	0.008474576271186439	0.006779661016949149	0.011138014527845037	0.01961259079903151	0.011138014527845031	0.006295399515738495	0.009685230024213072	0.03615819209039544	0.018966908797417303	0.017594834543987112	0.04656981436642449	0.01662631154156579	0.035189669087974135	0.003712671509281677	0.057062146892655305	0.03656174334140432	0.044148506860371195	0.004439063761097656	0.020500403551251028	0.010734463276836153	0.021872477804681226	0.07643260694108142	0.009039548022598865	0.016545601291364016	0.004761904761904759	0.009039548022598867	0.1548829701372084	0.013155770782889422	0.018240516545601316	0.006779661016949147	0.24471347861178505	0.017998385794996	0.013801452784503624	0.013801452784503626	0.07845036319612579	0.054317998385794944	0.018321226795803097	0.020661824051654582	0.011945117029862793	0.005569007263922515	0.01727199354318	0.018240516545601316	0.1528652138821639	0.016464891041162236	0.017514124293785335	0.20726392251816086	0.020177562550443954	0.004277643260694108	0.04931396287328483	0.03405972558514929	0.020016142050040417	0.045762711864406704	0.04067796610169481	0.01678773204196934	0.028894269572235756	0.0069410815173527	0.010734463276836153	0.0037933817594834524	0.008716707021791765	0.05633575464083928	0.10815173527037913	0.009120258272800642	0.01097659402744148	0.0021791767554479417	0.0035512510088781257	0.04108151735270374	0.006053268765133169	0.0018563357546408396	0.002582728006456819	0.008071025020177558	0.014366424535916055
k__Bacteria;p__Bacteroidetes	0.04891041162227595	0.412913640032287	0.007183212267958026	0.24705407586763722	0.06723163841807898	0.007748184019370454	0.18845843422114752	0.05181598062953984	0.11436642453591578	0.06408393866020974	0.07933817594834523	0.5086359967715912	0.02986279257465706	0.1630347054075882	0.21170298627925915	0.1932203389830526	0.04334140435835341	0.3819209039548051	0.09717514124293769	0.08571428571428548	0.40653753026634687	0.40887812752219854	0.07013720742534289	0.2916061339790182	0.24011299435028477	0.004923325262308309	0.18022598870056664	0.01751412429378534	0.18434221146085683	0.12493946731234838	0.4359160613397935	0.28587570621469144	0.4610169491525454	0.4916868442292214	0.3271993543180009	0.4740920096852338	0.24648910411622477	0.3019370460048449	0.09023405972558494	0.15351089588377842	0.025100887812752267	0.007586763518966903	0.35084745762712133	0.00492332526230831	0.1248587570621466	0.14560129136400415	0.15956416464891177	0.45020177562550767	0.16166263115415783	0.007909604519774006	0.2640839386602122	0.03139628732849079	0.19798224374495735	0.2939467312348694	0.08490718321226774	0.0748991121872476	0.025181598062954065	0.1570621468926568	0.26674737691687056	0.10242130750605302	0.2916061339790177	0.009039548022598862	0.2266343825665878	0.21065375302663586	0.141404358353512	0.4101694915254271	0.27368845843422346	0.007183212267958025	0.0069410815173527	0.42130750605327133	0.021872477804681236	0.17062146892655514	0.16351896690879905	0.034866828087167026	0.2995964487489932	0.32744148506860626	0.04301856335754634	0.04067796610169486	0.11242937853107324	0.1019370460048423	0.2224374495560954	0.023567393058918536	0.22203389830508677	0.23527037933817765	0.4269572235673964	0.12849071832122685	0.35778853914447406	0.46739305891848576	0.4791767554479452	0.13438256658595737	0.1839386602098481	0.0939467312348665	0.24075867635189863	0.07901533494753812	0.23430185633575668	0.216464891041164	0.35270379338176255	0.16400322841000936	0.22534301856335917	0.004439063761097655	0.39854721549637107	0.1794188861985487	0.30024213075060746	0.004439063761097655	0.004116222760290555	0.4041969330104945	0.006214689265536718	0.3573849878934646	0.21025020177562684	0.045036319612590754	0.08442292171105711	0.0105730427764326	0.20411622276029223	0.11888619854721523	0.2330104923325279	0.27360774818402195	0.0060532687651331666	0.17231638418079231	0.035754640839386544	0.055447941888619776	0.19346246973365744	0.22816787732042126	0.15052461662631264	0.2620661824051668	0.0032284100080710227	0.026553672316384253	0.029378531073446394	0.0504439063761097	0.18474576271186582	0.04648910411622269	0.4115415657788573	0.009443099273607742	0.08321226795803044	0.22066182405165588	0.15827280064568305	0.3506860371267174	0.00790960451977401	0.08781275221953166	0.20726392251816106	0.1973365617433427	0.03163841807909608	0.04568200161420493	0.14011299435028363	0.10758676351896669	0.1960451977401139	0.31404358353511125	0.36876513317191567	0.20903954802260036	0.005811138014527839	0.20669895076674982	0.10847457627118612	0.004439063761097655	0.032203389830508536	0.3302663438256672	0.02001614205004039	0.0752219531880547	0.24931396287328697	0.0034705407586763494	0.0072639225181598	0.2517352703793402	0.1334140435835357	0.3412429378531104	0.11033091202582694	0.023002421307506123	0.15536723163841962	0.012590799031476987	0.009039548022598865	0.21178369652946105	0.002259887005649717	0.3110573042776461	0.03309120258272802	0.07643260694108134	0.2365617433414063	0.43809523809524087	0.5016949152542395	0.30080710250202003	0.16319612590799207
k__Bacteria;p__Chlamydiae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003228410008071025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00024213075060532688	0.0	0.0	0.0	0.0	8.071025020177563e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Chloroflexi	0.0	0.0	0.0	8.071025020177563e-05	8.071025020177563e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00016142050040355126	0.0	0.0	8.071025020177563e-05	0.00016142050040355126	0.0	0.0	0.0	0.0	8.071025020177563e-05	0.0	0.0	0.00016142050040355126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00016142050040355126	0.0	0.00016142050040355126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.071025020177563e-05	0.0	0.0	0.0	8.071025020177563e-05	0.0	8.071025020177563e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0012106537530266344	0.0	0.0	0.0	0.0	0.00016142050040355126	0.0	0.0	0.0	8.071025020177563e-05	0.0	8.071025020177563e-05	0.0	8.071025020177563e-05	0.00016142050040355126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.071025020177563e-05	0.0	0.0	0.0	0.0	8.071025020177563e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00016142050040355126	0.0	8.071025020177563e-05	0.0	0.0	8.071025020177563e-05	0.00016142050040355126	0.0	0.0	0.0	0.0	0.0	0.00016142050040355126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00024213075060532688	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Deferribacteres	0.0	0.0003228410008071025	8.071025020177563e-05	0.0003228410008071025	0.0	0.0	0.0	8.071025020177563e-05	0.0005649717514124294	0.0	0.0	0.0	8.071025020177563e-05	8.071025020177563e-05	8.071025020177563e-05	0.00016142050040355126	0.0	0.0	8.071025020177563e-05	0.0011299435028248588	8.071025020177563e-05	0.0	8.071025020177563e-05	8.071025020177563e-05	8.071025020177563e-05	0.00016142050040355126	0.00016142050040355126	0.0	0.00016142050040355126	0.0008878127522195319	8.071025020177563e-05	8.071025020177563e-05	0.0	0.0004035512510088781	0.0012106537530266344	0.0	0.0	8.071025020177563e-05	8.071025020177563e-05	8.071025020177563e-05	0.0	0.0	0.0	0.0	0.0	0.00016142050040355126	8.071025020177563e-05	0.0	0.0	0.0	0.00016142050040355126	8.071025020177563e-05	8.071025020177563e-05	8.071025020177563e-05	0.0	8.071025020177563e-05	0.0	0.00016142050040355126	0.001533494753833737	8.071025020177563e-05	0.003066989507667473	0.0	0.0	0.0004035512510088781	8.071025020177563e-05	8.071025020177563e-05	0.0007263922518159807	0.0	8.071025020177563e-05	0.0	0.00024213075060532688	0.0	0.00024213075060532688	0.00024213075060532688	0.0	0.0	0.0	0.0	8.071025020177563e-05	0.00040355125100887816	8.071025020177563e-05	8.071025020177563e-05	0.0003228410008071025	0.0	8.071025020177563e-05	8.071025020177563e-05	0.0008071025020177563	8.071025020177563e-05	0.0	8.071025020177563e-05	0.0	8.071025020177563e-05	8.071025020177563e-05	8.071025020177563e-05	0.00016142050040355126	0.0	0.00016142050040355126	0.0003228410008071025	8.071025020177563e-05	0.00016142050040355126	0.00024213075060532688	8.071025020177563e-05	0.00024213075060532688	0.0	0.00016142050040355126	8.071025020177563e-05	0.00016142050040355126	0.00016142050040355126	0.0	0.00016142050040355126	0.0	0.0	0.0	0.0	8.071025020177563e-05	0.00024213075060532688	8.071025020177563e-05	0.00016142050040355126	8.071025020177563e-05	0.0	0.005084745762711864	0.00016142050040355126	8.071025020177563e-05	0.00129136400322841	8.071025020177563e-05	0.00016142050040355126	0.0	0.0	0.0	0.00016142050040355126	0.0	0.0	0.0003228410008071025	0.00016142050040355126	0.0	0.0	0.0	0.0	0.00016142050040355126	0.0010492332526230832	8.071025020177563e-05	0.00048426150121065375	8.071025020177563e-05	0.00024213075060532688	0.0	8.071025020177563e-05	0.00016142050040355126	0.0	0.00024213075060532688	0.0	0.0	8.071025020177563e-05	8.071025020177563e-05	0.0	0.008232445520581113	0.0	8.071025020177563e-05	0.00016142050040355126	8.071025020177563e-05	8.071025020177563e-05	8.071025020177563e-05	0.0004035512510088781	0.00016142050040355126	8.071025020177563e-05	0.0004035512510088781	8.071025020177563e-05	0.0	0.0	8.071025020177563e-05	8.071025020177563e-05	0.0	0.0	0.0	0.0	0.0	8.071025020177563e-05	0.0035512510088781275
k__Bacteria;p__Firmicutes	0.5527845036319458	0.2581920903954831	0.945520581113782	0.37094430992736704	0.6832929782082146	0.6957223567392883	0.4659402744148577	0.45819209039548753	0.6624697336561602	0.7372074253429988	0.8494753833736692	0.33454398708636546	0.394834543987092	0.6532687651331545	0.6436642453591443	0.5490718321226661	0.19451170298628168	0.3497175141242994	0.4692493946731285	0.4964487489911283	0.4276029055690129	0.38087167070218475	0.6277643260693938	0.42146892655367907	0.40613397901534115	0.3803874092009744	0.6262308313155613	0.6603712671509145	0.4021791767554538	0.6146085552865074	0.22913640032284405	0.4326876513317256	0.265859564164652	0.2228410008071056	0.17958030669895322	0.2845036319612626	0.43405972558515493	0.39733656174334747	0.7135593220338821	0.6776432606940904	0.8776432606940912	0.7233252623082976	0.4106537530266391	0.24552058111380334	0.7360774818401767	0.2981436642453637	0.63349475383372	0.2837772397094472	0.4855528652138887	0.9086359967715738	0.319612590799036	0.7849878934624553	0.6049233252622914	0.38700564971751966	0.584826472962052	0.8434221146085346	0.7327683615819083	0.48466505246166974	0.45375302663438827	0.663761097659383	0.4526230831315626	0.4509281678773261	0.49846650524617164	0.47005649717514686	0.7462469733656045	0.29491525423729215	0.3543987086360018	0.6009685230024077	0.26319612590799296	0.3123486682808753	0.7994350282485707	0.4329297820823294	0.620742534301836	0.7761097659402615	0.2588377723970974	0.4730427764326132	0.7133979015334777	0.6733656174333965	0.5610976594027313	0.5292978208232357	0.5589184826472837	0.6815173527037763	0.5011299435028311	0.4899919289749855	0.302179176755452	0.4163034705407641	0.4008071025020226	0.2832122679580348	0.27029862792575043	0.5539951573849752	0.5828087167070073	0.5546408393865901	0.40185633575464585	0.42058111380145796	0.3475383373688499	0.6693301049233084	0.5068603712671538	0.6469733656174151	0.6634382566585807	0.9064568200161262	0.3013720742534345	0.7446327683615668	0.360936238902345	0.8207425343018407	0.40629539951574345	0.3251815980629584	0.5335754640839315	0.34382566585956825	0.6284907183212181	0.516707021791764	0.555367231638408	0.9334947538337217	0.43841807909604974	0.6386602098466369	0.4183212267958091	0.34116222760291076	0.9023405972558372	0.5062146892655406	0.8602098466505061	0.5978208232445421	0.3723163841807958	0.34455205811138495	0.6245359160613256	0.2899919289749831	0.8776432606940908	0.7749798224374318	0.46892655367232083	0.6702179176755305	0.4111380145278508	0.8601291364003032	0.3334947538337418	0.8322033898304956	0.6023405972558337	0.6020984665052311	0.6059725585149159	0.3092009685230068	0.5559322033898176	0.720581113801439	0.2535108958837807	0.3435028248587619	0.733333333333318	0.752300242130735	0.5217917675544733	0.43462469733656645	0.48498789346247356	0.38813559322034363	0.28878127522195723	0.5002421307506115	0.6248587570621335	0.4943502824858841	0.4380952380952441	0.6631154156577699	0.6668280871670459	0.3573849878934649	0.7035512510088594	0.7477804681194262	0.3686844229217164	0.4477804681194571	0.7807102502017567	0.34697336561743863	0.6606133979015077	0.5322033898305027	0.6299435028248394	0.41581920903955527	0.5007263922518235	0.7545601291363798	0.6160613397901361	0.45367231638418654	0.851573849878923	0.34132364810331534	0.5558514931396153	0.5964487489911077	0.41678773204197556	0.34116222760291115	0.17796610169491764	0.4157384987893521	0.5658595641646326
